tau,coef,se,ci_lo,ci_hi
-4,.0061368095,.015859379,-.024947572,.037221193
-3,-.05381098,.030199224,-.11300146,.0053794971
-2,-.033960871,.0267321,-.08635579,.018434044
-1,0,0,0,0
0,-.047505971,.029916106,-.10614154,.011129596
+1,-.083156757,.046182867,-.17367518,.007361663
+2,-.07959044,.051762849,-.18104562,.021864748
+3,.030287754,.039872423,-.047862194,.1084377
+4,-.081764571,.020726684,-.12238887,-.041140266
