tau,coef,se,ci_lo,ci_hi
-4,.41066238,.57447487,-.71530837,1.5366331
-3,-.13043393,.27927965,-.67782199,.41695416
-2,-.30172092,.19384176,-.68165076,.078208923
-1,0,0,0,0
0,-.0091878725,.28660747,-.57093853,.55256277
+1,-.81051844,.3977378,-1.5900846,-.030952379
+2,-1.651486,.88104165,-3.3783278,.075355582
+3,-3.2878637,1.0296482,-5.305974,-1.2697535
+4,-7.1515326,2.5412915,-12.132464,-2.1706014
