tau,coef,se,ci_lo,ci_hi
-4,.95489162,.64152777,-.30250278,2.212286
-3,.62218595,.58658254,-.52751589,1.7718878
-2,.12795469,.3474119,-.55297261,.808882
-1,0,0,0,0
0,-.20282388,.29750663,-.78593689,.38028914
+1,-2.2821527,1.337554,-4.9037585,.33945325
+2,-2.4378943,1.8451087,-6.0543075,1.1785189
+3,-1.8550909,1.7845876,-5.3528829,1.642701
+4,-.15276034,2.214525,-4.4932294,4.1877089
