tau,coef,se,ci_lo,ci_hi
-4,-.0062463153,.0090747252,-.024032775,.011540146
-3,.0033510015,.0058838925,-.0081814276,.014883431
-2,-.0017282066,.0031252692,-.0078537343,.004397321
-1,0,0,0,0
0,.0024868581,.0034879989,-.0043496201,.0093233362
+1,-.00053237827,.0049762349,-.010285798,.0092210416
+2,-.0029511508,.007320052,-.017298453,.011396151
+3,-.0050433963,.0092580495,-.023189172,.01310238
+4,-.019215833,.01235799,-.043437496,.0050058281
