"","Control","Treated","Difference"
"Home Value (Dec 2022 $)","478848.23","474199.50","4648.72"
"Population","18542.78","21918.10","-3375.32***"
"Pop. Density (per sq mi)","5027.05","3123.25","1903.80***"
"County Unemp. Rate (%)","6.45","6.80","-0.35***"
"NFIP Policies (qtr avg)","59.98","84.55","-24.57***"
"NFIP Avg Premium ($)","690.42","781.76","-91.35***"
"SFHA Zone Share","0.34","0.40","-0.06***"
"NFIP Claims (qtr avg)","1.07","1.35","-0.28"
