tau,coef,se,ci_lo,ci_hi
-4,-.021338224,.022097781,-.064649872,.021973427
-3,-.023438428,.01645661,-.055693384,.0088165281
-2,-.011993251,.0094747534,-.030563766,.0065772654
-1,0,0,0,0
0,-.016043866,.012132504,-.039823573,.0077358419
+1,-.032971218,.012973721,-.058399711,-.0075427247
+2,-.02912301,.018671565,-.065719277,.0074732578
+3,-.011115215,.026447192,-.062951714,.040721282
+4,.0031516366,.038672697,-.072646849,.078950122
